BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33135.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33132.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33131.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33136.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33138.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33137.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33127.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33150.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33125.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33125.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33150.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,26 - BURGLARY,33135.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33132.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33132.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33137.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33127.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33132.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33144.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33142.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33142.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33136.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33132.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33125.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33142.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33125.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33127.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33136.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33126.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33150.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27R - LARCENY THEFT – RETAIL,33142.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33142.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33126.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,26 - BURGLARY,33127.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33136.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33135.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33132.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33130.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27 - LARCENY THEFT,33131.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33136.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33138.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,27V - LARCENY THEFT - MOTOR VEHICLE,33137.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,28 - VANDALISM,33127.0
2024-02-04,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-02-04,22 - STOLEN VEHICLE,33150.0
